storage_type,CAP[USD/MWh],FOM[USD/MWh],VOM[USD/MWh],LIFE,country,year,source
BATS,267000,621,2.3,20,XY,2020,
BATS,267000,621,2.3,20,XY,2025,
BATS,163000,311,2.07,25,XY,2030,
BATS,163000,311,2.07,25,XY,2035,
BATS,163000,311,2.07,25,XY,2040,
BATS,163000,311,2.07,25,XY,2045,
BATS,86000,155,1.84,30,XY,2050,
HHBS,400500,931.5,3.45,20,XY,2020,
HHBS,400500,931.5,3.45,20,XY,2025,
HHBS,244500,466.5,3.105,20,XY,2030,
HHBS,244500,466.5,3.105,20,XY,2035,
HHBS,244500,466.5,3.105,20,XY,2040,
HHBS,244500,466.5,3.105,20,XY,2045,
HHBS,129000,232.5,2.76,20,XY,2050,
HYD,750.08,2,0,20,XY,2020,
HYD,750.08,2,0,20,XY,2025,
HYD,750.08,2,0,20,XY,2030,
HYD,750.08,2,0,20,XY,2035,
HYD,750.08,2,0,20,XY,2040,
HYD,750.08,2,0,20,XY,2045,
HYD,750.08,2,0,20,XY,2050,
CO2STOR,2528.17,25.2817,0,100,XY,2020,
CO2STOR,2528.17,90.761303,0,100,XY,2025,
CO2STOR,2528.17,90.761303,0,100,XY,2030,
CO2STOR,2528.17,90.761303,0,100,XY,2035,
CO2STOR,2528.17,90.761303,0,100,XY,2040,
CO2STOR,2528.17,90.761303,0,100,XY,2045,
CO2STOR,2528.17,90.761303,0,100,XY,2050,
INLHSTOR,45320,678,0,30,XY,2020,
INLHSTOR,39655,593,0,30,XY,2025,
INLHSTOR,33990,509,0,30,XY,2030,
INLHSTOR,28325,424,0,30,XY,2035,
INLHSTOR,26059,390,0,30,XY,2040,
INLHSTOR,22660,339,0,30,XY,2045,
INLHSTOR,22660,339,0,30,XY,2050,
