powerplant_type,CAP[USD/MW],FOM[USD/MWa],VOM[USD/MWh],LIFE,country,year,source
BATS,311000,0,0,20,XY,2020,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,311000,0,0,20,XY,2025,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,184000,0,0,25,XY,2030,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,184000,0,0,25,XY,2035,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,184000,0,0,25,XY,2040,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,184000,0,0,25,XY,2045,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,69000,0,0,30,XY,2050,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BIOT,1788309,49500,3,25,XY,2020,DEA's study for Vietnam 2019
BIOT,1716777,47500,3,25,XY,2025,"Artelys, DEA's study for Vietnam 2019"
BIOT,1645244,45500,3,25,XY,2030,"Artelys, DEA's study for Vietnam 2019"
BIOT,1645244,45500,3,25,XY,2035,"Artelys, DEA's study for Vietnam 2019"
BIOT,1645244,45500,3,25,XY,2040,"Artelys, DEA's study for Vietnam 2019"
BIOT,1537946,42550,3,25,XY,2045,"Artelys, DEA's study for Vietnam 2019"
BIOT,1430647,39600,3,25,XY,2050,"Artelys, DEA's study for Vietnam 2019"
CCGT,878075,21952,2,35,XY,2020,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2025,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2030,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2035,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2040,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2045,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2050,LUT's study in Indonesia
CHP,1800000,49500,3.2,25,XY,2020,DEA's study for Vietnam 2021
CHP,1700000,49500,3.2,25,XY,2025,DEA's study for Vietnam 2021
CHP,1600000,45500,2.9,25,XY,2030,DEA's study for Vietnam 2021
CHP,1600000,45500,2.9,25,XY,2035,DEA's study for Vietnam 2021
CHP,1500000,45500,2.9,25,XY,2040,DEA's study for Vietnam 2021
CHP,1500000,45500,2.9,25,XY,2045,DEA's study for Vietnam 2021
CHP,1400000,39600,2.5,25,XY,2050,DEA's study for Vietnam 2021
CSP,803658,14242,0,20,XY,2020,Artelys
CSP,776530,13225,0,20,XY,2025,Artelys
CSP,749402,12207,0,20,XY,2030,Artelys
CSP,668019,11755,0,20,XY,2035,Artelys
CSP,586636,11303,0,20,XY,2040,Artelys
CSP,550466,10851,0,20,XY,2045,Artelys
CSP,513165,10399,0,20,XY,2050,Artelys
DAC,827000,31,0,25,XY,2020,Fasihi2019
DAC,605000,22,0,25,XY,2025,Fasihi2019
DAC,383000,14,0,25,XY,2030,Fasihi2019
DAC,326000,12,0,25,XY,2035,Fasihi2019
DAC,269000,10,0,25,XY,2040,Fasihi2019
DAC,247000,9,0,25,XY,2045,Fasihi2019
DAC,225000,8,0,25,XY,2050,Fasihi2019
EDLH,2034576,81383,0,30,XY,2020,ARENA
EDLH,2034576,81383,0,30,XY,2025,ARENA
EDLH,2034576,81383,0,30,XY,2030,ARENA
EDLH,2034576,81383,0,30,XY,2035,ARENA
EDLH,2034576,81383,0,30,XY,2040,ARENA
EDLH,2034576,81383,0,30,XY,2045,ARENA
EDLH,2034576,81383,0,30,XY,2050,ARENA
EERH,2807715,112309,0,30,XY,2020,ARENA
EERH,2807715,112309,0,30,XY,2025,ARENA
EERH,2807715,112309,0,30,XY,2030,ARENA
